"","over_60","partnered","living_alone","Home_owner","young_child","Numb_dep","Have_dep","Main_carer_dep","PPeligible","IWSSUCP8","SIHPSWT"
"51",1,1,0,0,NA,0,0,0,0,0,1300.52124017574
"52",1,1,0,1,NA,0,0,0,0,0,566.247126718919
"53",0,1,0,1,NA,0,0,0,0,600,566.247126718919
"54",0,0,1,1,NA,0,0,0,0,1250,218.429306230204
"55",0,0,1,0,NA,0,0,0,0,1792,218.429306230204
"56",1,1,0,1,NA,0,0,0,0,213,1282.20029486343
"57",1,1,0,1,NA,0,0,0,0,713,1282.20029486343
"58",0,0,1,0,NA,0,0,0,0,0,1282.20029486343
"59",0,0,0,0,5,2,1,1,1,0,1282.20029486343
"60",1,0,1,1,NA,0,0,0,0,0,152.399983400526
"61",0,1,0,1,NA,0,0,0,0,1250,961.334144956372
"62",0,1,0,1,NA,0,0,0,0,2792,961.334144956372
"63",0,0,1,0,NA,0,0,0,0,2584,961.334144956372
"64",1,1,0,1,NA,0,0,0,0,0,1834.72572030646
"65",1,1,0,1,NA,0,0,0,0,0,1834.72572030646
"66",0,1,0,1,NA,0,0,0,0,2993,486.318452137142
"67",1,1,0,1,NA,0,0,0,0,130,486.318452137142
"68",1,0,1,0,NA,0,0,0,0,0,893.608279565424
"69",0,1,0,0,NA,0,0,0,0,1534,1189.13232975695
"70",0,1,0,0,NA,0,0,0,0,1803,1189.13232975695
"71",1,1,0,1,NA,0,0,0,0,0,151.186349559398
"72",1,1,0,1,NA,0,0,0,0,0,151.186349559398
"73",0,1,0,1,12,3,1,1,0,2762,326.548227200864
"74",0,1,0,1,12,3,1,1,0,0,326.548227200864
"75",0,1,0,0,12,3,1,1,0,0,326.548227200864
"76",0,1,0,0,12,3,1,1,0,0,326.548227200864
"77",1,0,1,1,NA,0,0,0,0,0,63.3131453282397
"78",0,0,1,0,NA,0,0,0,0,0,671.176792189871
"79",0,0,1,0,NA,0,0,0,0,4634,1743.67384083319
"80",0,1,0,1,6,2,1,1,1,479,363.83799327589
"81",0,1,0,1,6,2,1,1,1,384,363.83799327589
"82",0,1,0,1,0,3,1,0,0,2689,45.5915400143243
"83",0,1,0,1,0,3,1,1,1,0,45.5915400143243
"84",0,1,0,0,7,4,1,1,0,0,126.855700445876
"85",0,1,0,1,7,4,1,1,0,0,126.855700445876
"86",0,1,0,0,7,4,1,1,0,0,126.855700445876
"87",0,1,0,0,7,4,1,1,0,0,126.855700445876
"88",0,1,0,1,17,2,1,1,0,2908,1134.5461893422
"89",0,1,0,1,17,2,1,1,0,0,1134.5461893422
"90",0,1,0,0,17,2,1,1,0,504,1134.5461893422
"91",0,1,0,0,17,2,1,1,0,240,1134.5461893422
"92",1,1,0,0,NA,0,0,0,0,307,268.094635714259
"93",1,1,0,0,NA,0,0,0,0,0,268.094635714259
"94",0,0,1,0,NA,0,0,0,0,0,990.983909140189
"95",0,1,0,0,4,3,1,0,0,0,1377.49442030724
"96",0,1,0,0,4,3,1,0,0,0,1377.49442030724
"97",1,0,1,1,NA,0,0,0,0,633,347.402437438173
"98",0,0,1,0,NA,0,0,0,0,300,347.402437438173
"99",1,1,0,1,NA,0,0,0,0,0,560.954054636453
"100",0,1,0,1,NA,0,0,0,0,1009,560.954054636453
"101",1,0,1,1,NA,0,0,0,0,0,114.718552864999
"102",1,0,1,1,NA,0,0,0,0,0,647.165109251152
"103",1,0,1,1,NA,0,0,0,0,0,286.603466029029
"104",0,1,0,1,1,3,1,0,0,0,870.970643433486
"105",0,1,0,1,1,3,1,0,0,0,870.970643433486
"106",0,1,0,0,1,3,1,0,0,0,870.970643433486
"107",0,1,0,1,NA,0,0,0,0,1008,1310.65922674857
"108",1,1,0,1,NA,0,0,0,0,1002,1310.65922674857
"109",0,0,0,0,3,2,1,1,1,0,126.772609799074
"110",1,1,0,1,NA,0,0,0,0,1875,46.8029652888932
"111",1,1,0,1,NA,0,0,0,0,0,46.8029652888932
"112",1,1,0,1,NA,0,0,0,0,0,137.419757901168
"113",1,1,0,1,NA,0,0,0,0,2450,137.419757901168
"114",0,1,0,1,5,4,1,0,0,2750,1001.49408434034
"115",0,1,0,1,5,4,1,1,1,0,1001.49408434034
"116",0,1,0,0,5,4,1,1,1,0,1001.49408434034
"117",0,0,0,1,11,3,1,1,1,1898,58.734320621288
"118",0,0,0,0,11,3,1,1,1,0,58.734320621288
"119",0,0,1,0,NA,0,0,0,0,0,58.734320621288
"120",1,0,1,1,NA,0,0,0,0,0,721.495034005611
"121",0,1,0,1,20,1,1,1,0,2747,1791.30518627071
"122",0,1,0,1,20,1,1,1,0,2466,1791.30518627071
"123",0,1,0,0,20,1,1,1,0,0,1791.30518627071
"124",0,1,0,0,NA,0,0,0,0,0,1791.30518627071
