"AGEEC","wage","over_60","partnered","living_alone","Have_dep","Home_owner","HECSDebt","young_child","partner_earnings","Numb_dep","Rent","Main_carer_dep","PPeligible","child_ages","hours","TotalGovtPay_Stated","DispInc_Stated","EmployeeInc_Stated","AgedPen_Stated","FTB_Stated","PP_Stated","CRA_Stated","JSP_Stated","JSP_SIH_Modelled","FTB_SIH_Modelled","PP_SIH_Modelled","AgedPen_SIH_Modelled","CRA_SIH_Modelled","net_income","income_tax","work_income","JSP","PP_Pay","RA","ES","taxable_benefit","gross_income","gross_fam_income","net_fam_a_income","net_fam_b_income","HECS_payment"
24,22.5,0,1,0,0,0,0,NA,885,0,900,0,0,"",40,0,788.47,900,0,0,0,0,0,0,0,0,0,0,774.057692307692,125.942307692308,900,0,0,0,0,0,900,917.019230769231,0,0,0
25,14.7166666666667,0,1,0,0,0,0,NA,900,0,900,0,0,"",60,0,777.53,883,0,0,0,0,0,0,0,0,0,0,763.687692307692,119.312307692308,883,0,0,0,0,0,883,900.307692307692,0,0,0
39,58.1666666666667,0,1,0,1,1,0,1,963,1,NA,1,1,"1",30,0,1429.7,1745,0,0,0,0,0,0,0,0,0,0,1339.79230769231,405.207692307692,1745,0,0,0,0,0,1745,1763.51923076923,0,0,0
30,0,0,1,0,1,1,0,1,1803,1,NA,1,1,"1",40,0,823.81,0,0,0,0,0,0,0,0,0,0,0,353.78,0,0,0,250.85,0,3.95,250.85,250.85,285.523076923077,98.98,0,0
24,31.175,0,1,0,0,0,30000,NA,1416,0,750,0,0,"",40,0,1033.11,1247,0,0,0,0,0,0,0,0,0,0,960.637692307692,242.717307692308,1247,0,0,0,0,0,1247,1274.23076923077,0,0,43.645
23,35.4,0,1,0,0,0,30000,NA,1247,0,750,0,0,"",40,0,1162.99,1416,0,0,0,0,0,0,0,0,0,0,1054.63769230769,297.642307692308,1416,0,0,0,0,0,1416,1439.98076923077,0,0,63.72
57,8.33333333333333,0,1,0,0,1,0,NA,6,0,NA,0,0,"",60,0,489.19,500,0,0,0,0,0,0,0,0,0,0,484.961538461539,15.0384615384616,500,0,0,0,0,0,500,500.115384615385,0,0,0
57,0,0,1,0,0,1,0,NA,500,0,NA,0,0,"",0,0,6,0,0,0,0,0,0,0,0,0,0,0,254.8,0,0,250.85,0,0,3.95,250.85,250.85,260.465384615385,0,0,0
22,19.25,0,0,1,0,0,0,NA,0,0,300,0,0,"",40,0,693.79,770,0,0,0,0,0,0,0,0,0,0,693.326923076923,76.6730769230769,770,0,0,0,0,0,770,770,0,0,0
46,86.5111111111111,0,0,1,0,0,0,NA,0,0,1200,0,0,"",45,0,5243.51,3893,0,0,0,0,0,0,0,0,0,0,2658.51538461538,1234.48461538462,3893,0,0,0,0,0,3893,3893,0,0,0
47,14.9791666666667,0,1,0,0,1,0,NA,19,0,NA,0,0,"",48,0,683.98,719,0,0,0,0,0,0,0,0,0,0,661.344230769231,57.6557692307692,719,0,0,0,0,0,719,719.365384615385,0,0,0
47,0,0,1,0,0,1,0,NA,738,0,NA,0,0,"",50,0,19,0,0,0,0,0,0,0,0,0,0,0,254.8,0,0,250.85,0,0,3.95,250.85,250.85,265.042307692308,0,0,0
50,37.8684210526316,0,1,0,1,1,800,4,1502,3,NA,1,1,"4,10",38,0,1262.17,1439,0,0,0,0,0,0,0,0,0,0,1189.14076923077,305.117307692308,1439,0,0,0,0,0,1439,1467.88461538462,70.6426923076922,0,15.3846153846154
44,37.5,0,1,0,1,1,0,4,1439,3,NA,1,1,"4,10",40,0,1190.87,1500,0,0,0,0,0,0,0,0,0,0,1234.83769230769,324.942307692308,1500,0,0,0,0,0,1500,1527.67307692308,59.78,0,0
18,0,0,1,0,1,0,0,4,2941,3,0,1,1,"4,10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.76,0,0,0,250.85,0,3.95,250.85,250.85,307.407692307692,197.96,0,0
40,0,0,1,0,1,1,0,2,2096,1,NA,1,1,"2",0,0,-288,0,0,0,0,0,0,0,0,0,0,0,353.78,0,0,0,250.85,0,3.95,250.85,250.85,291.157692307692,98.98,0,0
46,36.1379310344828,0,1,0,1,1,0,2,-288,1,NA,0,0,"2",58,0,1576.78,2096,0,0,0,0,0,0,0,0,0,0,1560.92230769231,535.077692307692,2096,0,0,0,0,0,2096,2090.46153846154,0,0,0
35,49.7105263157895,0,0,0,1,0,0,8,0,2,840,1,1,"8,9",38,0,1565.76,1889,0,0,0,0,0,0,179.27,0,0,27.44,1430.51230769231,458.487692307692,1889,0,0,0,0,0,1889,1889,0,0,0
61,52.78125,1,1,0,0,1,0,NA,328.03,0,NA,0,0,"",32,0,1422.13,1689,0,0,0,0,0,0,0,0,0,0,1302.63269230769,386.367307692308,1689,0,0,0,0,0,1689,1695.30826923077,0,0,0
49,50,0,0,1,0,1,0,NA,0,0,NA,0,0,"",40,0,1607.96,2000,0,0,0,0,0,0,0,0,0,0,1500.44230769231,499.557692307692,2000,0,0,0,0,0,2000,2000,0,0,0
36,24.2368421052632,0,0,1,0,0,0,NA,0,0,346,0,0,"",38,0,805.21,921,0,0,0,0,0,0,0,0,0,0,786.867692307692,134.132307692308,921,0,0,0,0,0,921,921,0,0,0
62,0,1,1,0,0,1,0,NA,312.65,0,NA,0,0,"",0,0,9,0,0,0,0,0,0,0,0,0,0,0,254.8,0,0,250.85,0,0,3.95,250.85,250.85,256.8625,0,0,0
23,0,0,0,1,0,0,12000,NA,0,0,700,0,0,"",0,331.45,715.45,0,0,0,0,67.5,0,0,0,0,0,68.6,350.84875,0,0,277.85,0,68.59875,4.4,277.85,277.85,277.85,0,0,0
53,0,0,1,0,0,0,0,NA,0,0,330,0,0,"",0,452.53,452.53,0,0,0,0,0,0,0,0,0,0,0,330.1,0,0,250.85,0,75.3,3.95,250.85,250.85,250.85,0,0,0
48,0,0,1,0,0,0,0,NA,0,0,330,0,0,"",0,382.02,382.02,0,0,0,0,0,0,0,0,0,0,0,330.1,0,0,250.85,0,75.3,3.95,250.85,250.85,250.85,0,0,0
60,26.8181818181818,1,0,1,0,1,0,NA,0,0,NA,0,0,"",55,0,1497.78,1475,0,0,0,0,0,0,0,0,0,0,1158.18269230769,316.817307692308,1475,0,0,0,0,0,1475,1475,0,0,0
49,0,0,0,1,0,0,0,NA,0,0,270,0,0,"",0,478.55,478.55,0,0,0,0,0,0,0,0,0,0,0,337.6,0,0,277.85,0,55.35,4.4,277.85,277.85,277.85,0,0,0
23,23.8846153846154,0,0,1,0,0,0,NA,0,0,110,0,0,"",26,0,579.61,621,0,0,0,0,0,0,0,0,0,0,582.971538461538,38.0284615384615,621,0,0,0,0,0,621,621,0,0,0
19,0,0,0,1,0,0,0,NA,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.25,0,0,277.85,0,0,4.4,277.85,277.85,277.85,0,0,0
57,0,0,1,0,0,1,0,NA,2513.17,0,NA,0,0,"",0,0,243.25,0,0,0,0,0,0,0,0,0,0,0,254.8,0,0,250.85,0,0,3.95,250.85,250.85,299.180192307692,0,0,0
63,0,1,1,0,0,1,0,NA,0,0,NA,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.8,0,0,250.85,0,0,3.95,250.85,250.85,250.85,0,0,0
